Timestamp,brand,price,aesthetics,certs,most_important,least_important,will_pay,region,gender,age,frequency
5/22/2017 18:29,Extremely important,Moderately important,"Yes, very important",Fair trade and direct trade have equal importance to me,Brand name,Location of shop,$18 - $22,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Male,25 - 34,Weekly
5/22/2017 18:33,Moderately important,Moderately important,"Yes, extremely important",Fair trade and direct trade have equal importance to me,Aesthetics,Brand name,$15 - $18,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Female,25 - 34,Weekly
5/22/2017 18:55,Moderately important,Not at all important,"Yes, very important",Neither factor contributes to my decision,Trade specifications (fair trade / direct trade),Price,$22 - $25,"Yes, Central and South America (Mexico, Columbia, Brazil, etc.)",Male,25 - 34,2-3 times a month
5/22/2017 19:07,Very important,Moderately important,"Yes, extremely important",I prefer to purchase beans that are fair trade,Aesthetics,Location of shop,$15 - $18,"Yes, Central and South America (Mexico, Columbia, Brazil, etc.)",Female,25 - 34,2-3 times a month
5/22/2017 19:07,Moderately important,Not at all important,"Yes, moderately important",I prefer to purchase beans that are fair trade,Trade specifications (fair trade / direct trade),Price,$18 - $22,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Female,45 - 54,Weekly
5/22/2017 19:12,Moderately important,Very important,"No, not at all important",Neither factor contributes to my decision,Price,Location of shop,$22 - $25,No,Male,55 - 64,Monthly
5/22/2017 19:13,Slightly important,Very important,"Yes, very important",Fair trade and direct trade have equal importance to me,Price,Trade specifications (fair trade / direct trade),$15 - $18,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Male,25 - 34,Weekly
5/22/2017 19:15,Moderately important,Moderately important,"Yes, very important",Neither factor contributes to my decision,Aesthetics,Location of shop,$15 - $18,No,Male,45 - 54,2-3 times a month
5/22/2017 19:15,Moderately important,Very important,"Yes, extremely important",Fair trade and direct trade have equal importance to me,Aesthetics,Trade specifications (fair trade / direct trade),$12 - $15,No,Female,25 - 34,2-3 times a month
5/22/2017 19:17,Very important,Moderately important,"Yes, moderately important",I prefer to purchase beans that are fair trade,Brand name,Location of shop,$22 - $25,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Male,25 - 34,Monthly
5/22/2017 19:17,Very important,Very important,"No, not at all important",Fair trade and direct trade have equal importance to me,Brand name,Aesthetics,< $12,No,Female,45 - 54,Less than once a month
5/22/2017 19:18,Slightly important,Very important,"Yes, slightly important",Neither factor contributes to my decision,Location of shop,Aesthetics,$12 - $15,No,Female,35 - 44,Weekly
5/22/2017 19:19,Moderately important,Very important,"Yes, moderately important",Neither factor contributes to my decision,Price,Trade specifications (fair trade / direct trade),$12 - $15,No,Female,25 - 34,Less than once a month
5/22/2017 19:19,Moderately important,Moderately important,"Yes, slightly important",Neither factor contributes to my decision,Location of shop,Trade specifications (fair trade / direct trade),< $12,No,Female,35 - 44,Weekly
5/22/2017 19:19,Very important,Moderately important,"Yes, moderately important",I prefer to purchase beans that are fair trade,Price,Aesthetics,$15 - $18,No,Female,25 - 34,Weekly
5/22/2017 19:21,Moderately important,Not at all important,"No, not at all important",I prefer to purchase beans that are fair trade,Trade specifications (fair trade / direct trade),Aesthetics,$15 - $18,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Female,45 - 54,Monthly
5/22/2017 19:22,Very important,Very important,"Yes, moderately important",Fair trade and direct trade have equal importance to me,Aesthetics,Trade specifications (fair trade / direct trade),$15 - $18,"Yes, South Pacific and the Islands (Sumatra, Papa New Guinea, Hawaii)",Male,45 - 54,Less than once a month
5/22/2017 19:24,Moderately important,Not at all important,"Yes, very important",Fair trade and direct trade have equal importance to me,Location of shop,Price,$18 - $22,"Yes, Central and South America (Mexico, Columbia, Brazil, etc.)",Male,25 - 34,Monthly
5/22/2017 19:25,Moderately important,Very important,"Yes, moderately important",Neither factor contributes to my decision,Location of shop,Brand name,$12 - $15,No,Female,25 - 34,Monthly
5/22/2017 19:25,Very important,Very important,"Yes, slightly important",I prefer to purchase beans that are direct trade,Brand name,Trade specifications (fair trade / direct trade),$22 - $25,"Yes, Central and South America (Mexico, Columbia, Brazil, etc.)",Female,Under 18,2-3 times a month
5/22/2017 19:25,Very important,Moderately important,"Yes, slightly important",Fair trade and direct trade have equal importance to me,Brand name,Aesthetics,$12 - $15,No,Female,35 - 44,Weekly
5/22/2017 19:25,Very important,Moderately important,"Yes, slightly important",I prefer to purchase beans that are fair trade,Brand name,Trade specifications (fair trade / direct trade),$15 - $18,"Yes, Africa and the Arabian Peninsula (Kenya, Ethiopia, Yemen, etc.)",Female,25 - 34,2-3 times a month
5/22/2017 19:25,Moderately important,Moderately important,"Yes, moderately important",Neither factor contributes to my decision,Price,Trade specifications (fair trade / direct trade),< $12,No,Male,45 - 54,Monthly
5/22/2017 19:27,Slightly important,Extremely important,"No, not at all important",Neither factor contributes to my decision,Price,Aesthetics,$12 - $15,No,Female,55 - 64,2-3 times a month
