year,week_number,count
2001,1,9982
2001,2,8586
2001,3,8704
2001,4,8300
2001,5,8473
2001,6,8418
2001,7,8368
2001,8,8416
2001,9,9149
2001,10,9033
2001,11,8665
2001,12,9444
2001,13,9295
2001,14,9345
2001,15,9355
2001,16,9229
2001,17,9360
2001,18,9977
2001,19,9420
2001,20,9564
2001,21,8920
2001,22,9616
2001,23,9492
2001,24,9909
2001,25,9741
2001,26,9941
2001,27,9770
2001,28,10083
2001,29,10230
2001,30,10129
2001,31,10180
2001,32,10079
2001,33,9676
2001,34,9729
2001,35,10153
2001,36,9962
2001,37,9617
2001,38,9390
2001,39,9627
2001,40,9982
2001,41,9549
2001,42,9829
2001,43,9355
2001,44,10123
2001,45,9224
2001,46,9290
2001,47,8728
2001,48,9154
2001,49,9136
2001,50,8963
2001,51,8440
2001,52,6654
2002,1,9930
2002,2,8983
2002,3,8467
2002,4,8969
2002,5,8166
2002,6,8311
2002,7,8610
2002,8,8648
2002,9,8248
2002,10,8302
2002,11,9308
2002,12,8607
2002,13,8821
2002,14,9438
2002,15,9471
2002,16,9320
2002,17,8976
2002,18,9508
2002,19,9337
2002,20,9725
2002,21,9805
2002,22,10589
2002,23,9635
2002,24,10030
2002,25,9864
2002,26,10084
2002,27,10283
2002,28,10328
2002,29,10613
2002,30,10210
2002,31,10591
2002,32,10122
2002,33,9992
2002,34,9657
2002,35,9978
2002,36,9974
2002,37,9719
2002,38,10051
2002,39,9702
2002,40,10394
2002,41,9598
2002,42,9601
2002,43,9401
2002,44,9559
2002,45,8943
2002,46,8913
2002,47,8673
2002,48,7876
2002,49,8167
2002,50,9140
2002,51,8826
2002,52,7293
2003,1,10280
2003,2,8488
2003,3,8098
2003,4,7563
2003,5,8288
2003,6,7858
2003,7,7884
2003,8,8312
2003,9,8408
2003,10,7972
2003,11,9218
2003,12,8810
2003,13,8826
2003,14,9070
2003,15,9251
2003,16,9304
2003,17,9356
2003,18,9113
2003,19,9369
2003,20,9497
2003,21,9474
2003,22,9342
2003,23,9464
2003,24,9570
2003,25,9411
2003,26,9543
2003,27,9521
2003,28,9679
2003,29,10052
2003,30,9743
2003,31,10042
2003,32,9974
2003,33,10026
2003,34,10167
2003,35,9816
2003,36,9822
2003,37,10009
2003,38,9753
2003,39,9369
2003,40,9391
2003,41,9935
2003,42,9943
2003,43,9680
2003,44,9648
2003,45,8918
2003,46,8860
2003,47,9152
2003,48,8325
2003,49,8848
2003,50,8052
2003,51,8103
2003,52,7349
2004,1,5270
2004,2,7467
2004,3,8312
2004,4,7881
2004,5,7360
2004,6,7856
2004,7,7979
2004,8,8285
2004,9,8761
2004,10,9064
2004,11,8775
2004,12,8800
2004,13,9294
2004,14,9160
2004,15,8885
2004,16,8675
2004,17,9028
2004,18,8803
2004,19,9238
2004,20,9264
2004,21,9474
2004,22,9223
2004,23,9782
2004,24,9653
2004,25,9614
2004,26,9270
2004,27,9638
2004,28,9817
2004,29,10147
2004,30,9228
2004,31,9971
2004,32,9794
2004,33,9467
2004,34,9612
2004,35,9770
2004,36,10179
2004,37,9457
2004,38,9661
2004,39,9638
2004,40,9186
2004,41,9052
2004,42,9073
2004,43,9529
2004,44,9831
2004,45,8809
2004,46,8883
2004,47,9142
2004,48,7659
2004,49,8338
2004,50,8429
2004,51,7720
2004,52,6627
2004,53,5553
2005,1,7290
2005,2,7960
2005,3,6820
2005,4,7684
2005,5,7894
2005,6,7871
2005,7,8080
2005,8,8056
2005,9,8494
2005,10,7898
2005,11,8593
2005,12,7988
2005,13,8845
2005,14,9424
2005,15,9122
2005,16,8774
2005,17,9067
2005,18,9156
2005,19,9231
2005,20,9274
2005,21,9050
2005,22,9186
2005,23,9345
2005,24,9373
2005,25,9115
2005,26,9448
2005,27,9409
2005,28,9894
2005,29,9340
2005,30,9225
2005,31,9651
2005,32,9409
2005,33,9067
2005,34,9416
2005,35,9440
2005,36,9332
2005,37,9175
